관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
26110-00003,영주어린이공원,어린이공원,,부산광역시 중구 영주동 274-11,35.1115211,129.0307744,198,,,,,,,부산광역시중구청,,2021-09-16,3250000,부산광역시 중구
26110-00004,오름소공원,소공원,,부산광역시 중구 동광동5가 14-1,35.09971591,129.033248,3758.5,,,,,,,부산광역시중구청,,2021-09-16,3250000,부산광역시 중구
44270-00001,공원:102(당진:02 계림공원),근린공원,,충청남도 당진시 수청동 산148,36.89744497,126.6450933,102106,,,,,,1968-10-21,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00002,공원:103(당진:03 승리봉공원),근린공원,,충청남도 당진시 읍내동 507-12,36.89554285,126.627703,12465,,,,,,1968-10-21,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00003,공원:104(당진:04 채운공원),근린공원,,충청남도 당진시 채운동 357-21,36.89064383,126.619224,81078,,,,,,1968-10-21,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00004,공원:107(당진:06 남산공원),근린공원,,충청남도 당진시 읍내동 234-33,36.89438169,126.6345673,51216,,,,,,1986-12-31,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00005,공원:109(당진:8 서문공원),소공원,,충청남도 당진시 읍내동 560-2,36.89320136,126.6271367,58,,,,,,2011-02-21,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00006,공원:110(당진:09 새싹공원),어린이공원,,충청남도 당진시 읍내동 177-1,36.89023423,126.6353885,1364,,,,,,1986-12-31,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00007,공원:111(당진:10 은하공원),어린이공원,,충청남도 당진시 채운동 278-4,36.8946859,126.6226732,1800,,,,,,1986-12-31,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00008,공원:113(당진:12 하늘공원),어린이공원,,충청남도 당진시 읍내동 1373,36.88803752,126.6348417,1491,,,,,,2000-06-30,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00009,공원:114(당진:13 보름달공원),어린이공원,,충청남도 당진시 채운동 1042,36.88720282,126.6306794,1855,,,,,,2000-06-30,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00010,공원:115(당진:14 바다공원),어린이공원,,충청남도 당진시 대덕동 1522,36.8868512,126.6349617,1514,,,,,,2000-06-30,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
44270-00011,공원:116(당진:15 해바라기공원),근린공원,,충청남도 당진시 대덕동 1710,36.88615679,126.6398247,4286,,,,,,2000-06-30,당진시,041-350-4212,2021-09-23,5680000,충청남도 당진시
27230-00043,읍내공원,어린이공원,,대구광역시 북구 관음동 1382,35.940615,128.549621,2635.3,,"조합놀이대, 그네","화장실, 파고라, 의자",,,1989-06-15,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00044,들꽃공원,어린이공원,,대구광역시 북구 동천동 889-1,35.945926,128.558193,1509.4,,"조합놀이대, 흔들놀이대","파고라, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00045,미소공원,어린이공원,,대구광역시 북구 동천동 891-1,35.945892,128.561755,2900,농구대,"조합놀이대, 그네","파고라, 의자",야외무대,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00046,둥근달공원,어린이공원,,대구광역시 북구 국우동 1079-2,,128.566215,4000.2,,"조합놀이대, 흔들놀이대","파고라, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00047,미리내공원,어린이공원,,대구광역시 북구 국우동 1085-1,,128.571177,3913.4,,"조합놀이대, 그네","파고라, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00048,마당공원,어린이공원,대구광역시 북구 구리로34길 57,대구광역시 북구 국우동 1112,35.947803,128.576319,2730.1,,"조합놀이대, 흔들놀이대","정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00049,까치공원,어린이공원,,대구광역시 북구 국우동 1110-1,35.949259,,2001.4,,조합놀이대,"정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00050,반딧불이공원,어린이공원,,대구광역시 북구 동천동 913-1,35.940002,128.558649,3529.5,농구대,조합놀이대,"정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00051,동평공원,어린이공원,,대구광역시 북구 동천동 915-2,35.938227,128.560574,3505.6,,조합놀이대,"정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00052,사계절공원,어린이공원,,대구광역시 북구 구암동 787-2,35.938091,128.564823,3500.8,,"조합놀이대, 그네","파고라, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00053,열림공원,어린이공원,,대구광역시 북구 구암동 785-2,35.940722,128.567747,3248.4,,"조합놀이대, 그네","정자, 의자",야외무대,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00054,오뚜기공원,어린이공원,대구광역시 북구 대천로18길 8,대구광역시 북구 동천동 939,35.93639164,128.5577386,2226.7,,조합놀이대,"정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00055,뜨락공원,어린이공원,,대구광역시 북구 구암동 789-3,35.935579,128.564783,4400,,"조합놀이대, 그네, 흔들놀이대","정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00056,비로실공원,어린이공원,,대구광역시 북구 구암동 808-1,35.938382,128.568549,1797.3,,"조합놀이대, 그네, 흔들놀이대","정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00057,운곡공원,어린이공원,대구광역시 북구 구암로54길 5,대구광역시 북구 구암동 823-6,35.935429,128.567071,1927.4,,"조합놀이대, 흔들놀이대","정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00058,솔밭공원,어린이공원,,대구광역시 북구 구암동 799,35.932303,128.563967,3690.6,,"조합놀이대, 그네, 흔들놀이대","정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00059,예삐공원,어린이공원,,대구광역시 북구 국우동 1106,35.946833,128.572621,3093.5,농구장,조합놀이대,"파고라, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00060,앵무새공원,어린이공원,,대구광역시 북구 국우동 1101-5,35.943191,128.572443,3905.2,,"조합놀이대, 그네","정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00061,천서공원,어린이공원,,대구광역시 북구 동천동 926-1,35.938199,128.558312,1944.3,,"조합놀이대, 그네","정자, 의자",,,1995-11-20,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00062,도곡공원,어린이공원,,대구광역시 북구 서변동 1725,35.927498,128.596129,2432,,"조합놀이대, 그네","정자, 의자",,,1997-01-11,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00063,성북공원,어린이공원,,대구광역시 북구 서변동 1735,35.924617,128.595505,3241.1,,"조합놀이대, 그네","정자, 의자",,,1997-01-11,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00064,햇살공원,어린이공원,,대구광역시 북구 서변동 1773,35.922827,128.597094,2210.6,,"조합놀이대, 그네","파고라, 의자",,,1997-01-11,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00065,한솔공원,어린이공원,,대구광역시 북구 서변동 1794,35.919226,128.597017,3315.5,,"조합놀이대, 그네","정자, 의자",,,1997-01-11,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00066,으뜸공원,어린이공원,,대구광역시 북구 서변동 1763,,128.596128,2065.8,,"조합놀이대, 그네","정자, 의자",,,1997-01-11,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00067,동화공원,어린이공원,,대구광역시 북구 동변동 659,35.921245,128.601064,1982.9,,"조합놀이대, 그네","정자, 의자",,,1997-01-11,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
27230-00068,꽃밭공원,어린이공원,,대구광역시 북구 동변동 691,35.920056,128.605362,1701.7,,조합놀이대,"정자, 의자",,,1997-01-11,대구광역시 북구청,053-665-2864,2021-07-23,3450000,대구광역시 북구
48170-00059,초장1지구3공원,근린공원,,"경상남도 진주시 초전동 1661, 1663",35.211851,128.104002,15252,,,,,,2007-06-14,경상남도 진주시,055-749-5931,2021-07-28,5310000,경상남도 진주시
41273-00092,초지상소공원2,소공원,,경기도 안산시 단원구 초지동 606-3,37.324910,126.807940,1218,,,,,"산책로, 진입광장, 휴게소",2011-03-28,경기도 안산시청,031-481-6417,2021-08-31,3930000,경기도 안산시
41273-00094,도토리공원,소공원,,경기도 안산시 단원구 고잔동 782-5,37.307241,126.832012,4731,,,,,"파고라,평의자, 휀스",2012-12-03,경기도 안산시청,031-481-6417,2021-08-31,3930000,경기도 안산시
41273-00095,원곡3문화공원,문화공원,,경기도 안산시 단원구 원곡동 852,37.324755,126.803681,3645,,,,,"파고라, 연못",2013-12-24,경기도 안산시청,031-481-2471,2021-08-31,3930000,경기도 안산시
41273-00096,원곡3소공원,소공원,,경기도 안산시 단원구 원곡동 854,37.323728,126.804429,5507,,,,,"산책로, 진입광장, 휴게소",2013-12-24,경기도 안산시청,031-481-6417,2021-08-31,3930000,경기도 안산시
41273-00097,초지1소공원,소공원,,경기도 안산시 단원구 초지동 595-3,37.322585,126.806747,4864,,,,,"산책로, 진입광장, 휴게소",2013-12-24,경기도 안산시청,031-481-6417,2021-08-31,3930000,경기도 안산시
41273-00098,초지상소공원,소공원,,경기도 안산시 단원구 초지동 606-5,37.323740,126.808241,3968,,,,,"산책로, 진입광장, 휴게소",2013-12-24,경기도 안산시청,031-481-6417,2021-08-31,3930000,경기도 안산시
47900-00001,서본공원,근린공원,경상북도 예천군 예천읍 충효로 209-15,경상북도 예천군 예천읍 서본리 240,36.65124841,128.4464752,73144,게이트볼장,,"주차장, 화장실",,문화회관,1967-12-26,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00002,남산공원,근린공원,경상북도 예천군 예천읍 남산공원길 11,경상북도 예천군 예천읍 남본리 176-1,36.6521578,128.4570263,71700,"국궁장, 체력단련시설, 배드민턴장",,"주차장, 전신전화국(예비군중대), 화장실, 관풍루","남산충혼탑, 순국열사기념비, 숲속도서관, 예천군새마을회",,1967-12-26,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00003,백전어린이공원,어린이공원,,경상북도 예천군 예천읍 동본리 491-3,36.662219,128.461894,1500,체력단련시설,"조합놀이대, 시소",,,파고라,1985-03-21,경상북도 예천읍장,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00004,동본어린이공원,어린이공원,,경상북도 예천군 예천읍 동본리 453-6,36.657098,128.459633,1500,체력단련시설,"조합놀이대, 시소",,,파고라,1985-03-21,경상북도 예천읍장,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00005,공원1,근린공원,,경상북도 예천군 호명면 금능리 747,36.576526,128.467115,13165,"체력단련시설, 배드민턴장, 족구장",,,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00006,공원2,근린공원,,경상북도 예천군 호명면 산합리 1384,36.577611,128.484921,56640,"체력단련시설, 농구장, 게이트볼장",,,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00007,공원3,근린공원,,경상북도 예천군 호명면 산합리 1396,36.579123,128.491999,131344,체력단련시설,,,,"파고라, 정자",2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
41461-00208,소공원,소공원,경기도 용인시 처인구 백암면 근창리 101-8번지일원,경기도 용인시 처인구 백암면 근창리 101-8번지일원,37.163501,127.369301,807,,,,,,2009-08-17,,,2019-04-10,4050000,경기도 용인시
41461-00209,소공원,소공원,경기도 용인시 처인구 역북동 385-5번지 일원,경기도 용인시 처인구 역북동 385-5번지 일원,37.239001,127.191601,391,,,,,,2009-08-17,,,2019-04-10,4050000,경기도 용인시
41463-00211,소공원,소공원,경기도 용인시 기흥구 구갈동 403-2번지 일원,경기도 용인시 기흥구 구갈동 403-2번지 일원,37.276601,127.110801,658,,,,,,2009-08-17,,,2019-04-10,4050000,경기도 용인시
41463-00019,보정제3호 어린이공원(독정),어린이공원,경기도 용인시 기흥구 보정동 1235번지,경기도 용인시 기흥구 보정동 1235번지,37.319501,127.121001,3363,,,,,,2001-02-09,,,2019-04-10,4050000,경기도 용인시
41463-00020,보정제4호 어린이공원(죽현),어린이공원,경기도 용인시 기흥구 보정동 1270번지,경기도 용인시 기흥구 보정동 1270번지,37.319001,127.112001,2703,,,,,,2001-02-09,,,2019-04-10,4050000,경기도 용인시
41463-00021,보정제5호 어린이공원(포솔),어린이공원,경기도 용인시 기흥구 보정동 1284번지,경기도 용인시 기흥구 보정동 1284번지,37.311701,127.116001,1672,,,,,,2001-02-09,,,2019-04-10,4050000,경기도 용인시
41463-00009,제48호 근린공원(강남근린공원),어린이공원,경기도 용인시 기흥구 구갈동 598번지,경기도 용인시 기흥구 구갈동 598번지,37.273201,127.132501,189796,,,,,,2000-12-30,,,2019-04-10,4050000,경기도 용인시
41463-00010,제51호 어린이공원(하늘채),어린이공원,경기도 용인시 기흥구 구갈동 549번지,경기도 용인시 기흥구 구갈동 549번지,37.278101,127.129401,1615,,,,,,2000-12-31,,,2019-04-10,4050000,경기도 용인시
41463-00011,제52호 어린이공원(갈곡),어린이공원,경기도 용인시 기흥구 구갈동 584번지,경기도 용인시 기흥구 구갈동 584번지,37.271801,127.129701,1501,,,,,,2000-12-31,,,2019-04-10,4050000,경기도 용인시
41463-00012,제53호 어린이공원(강남),어린이공원,경기도 용인시 기흥구 구갈동 602번지,경기도 용인시 기흥구 구갈동 602번지,37.269901,127.130401,1500,,,,,,2000-12-31,,,2019-04-10,4050000,경기도 용인시
41463-00137,서천4근린공원,근린공원,경기도 용인시 기흥구 서천동 820번지,경기도 용인시 기흥구 서천동 820번지,37.235301,127.077601,51385,,,,,,2005-01-03,,,2019-04-10,4050000,경기도 용인시
41461-00101,마평어린이공원,어린이공원,경기도 용인시 처인구 마평동 758-3번지,경기도 용인시 처인구 마평동 758-3번지,37.235001,127.216201,3670,,,,,,2003-06-23,,,2019-04-10,4050000,경기도 용인시
41461-00102,제74호 어린이공원,어린이공원,경기도 용인시 처인구 역북동 632-50번지,경기도 용인시 처인구 역북동 632-50번지,37.239001,127.187001,3389,,,,,,2003-06-23,,,2019-04-10,4050000,경기도 용인시
45113-00103,화정공원,근린공원,,전라북도 전주시 덕진구 송천동2가 1356,35.8719799,127.1201996,36819,,,,,,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
45113-00104,팔복문화공원,문화공원,,전라북도 전주시 덕진구 팔복동1가 243-3,35.86133297,127.1009481,13242,,,,,,2015-11-18,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
45113-00105,철도178호,근린공원,,전라북도 전주시 덕진구 우아동1가 942-1,35.8295784,127.1761143,36018,,,,,,2015-11-27,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
45113-00106,에코시티 1호공원,어린이공원,,전라북도 전주시 덕진구 송천동2가 377-66,35.8719799,127.1201996,1500,,,,,,2016-04-29,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00107,에코시티5호,근린공원,,전라북도 전주시 덕진구 송천동2가 377-70,35.8719799,127.1201996,11157,,,,,,2016-04-29,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
45113-00108,제187호 근린공원,근린공원,,"전라북도 전주시 덕진구 우아동1가 1121, 111-5",35.8255237,127.1760178,5153,,,,,,2016-09-13,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
45113-00109,동산구역B,소공원,,전라북도 전주시 덕진구 여의동2가 551-3,35.8698979,127.0792306,499,,,,,,2017-07-14,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00110,동산구역A,소공원,,전라북도 전주시 덕진구 여의동2가 601-5,35.870165,127.080703,1405,,,,,,2017-07-14,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45111-00139,이목대공원,소공원,,전라북도 전주시 완산구 교동 54-16,35.8144091,127.1560596,264,,,,,,2018-12-14,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45111-00140,역사도심공원,소공원,,전라북도 전주시 완산구 고사동 324-14,35.820872,,208,,,,,,2018-04-30,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00111,추천대공원,소공원,전라북도 전주시 덕진구 추천로 82,전라북도 전주시 덕진구 팔복동2가 94-4,35.845709,127.1041981,4780,,,,,,2019-09-11,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00096,에코시티4호,소공원,,전라북도 전주시 덕진구 송천동 2가 377-66,35.876414,127.1158797,993,,,,,,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00097,에코시티5호,소공원,,전라북도 전주시 덕진구 송천동 2가 377-66,35.876854,127.117319,1033,,,,,,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00098,에코시티6호,소공원,,전라북도 전주시 덕진구 송천동 2가 377-66,,127.118276,1087,,,,,,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00099,에코시티9호,소공원,,전라북도 전주시 덕진구 송천동 2가 377-66,35.871553,127.139451,1320,,,,,,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2808,2021-08-31,4640000,전라북도 전주시
45113-00100,백석공원,근린공원,,전라북도 전주시 덕진구 송천동2가 1293-86,35.8719799,127.1201996,93743,,,,,,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
45113-00101,세병공원,근린공원,,전라북도 전주시 덕진구 송천동2가 1316,35.8719799,127.1201996,200481,"족구장,풋살장,농구장,다목적구장",,"정자,화장실,벤치",,수경설비,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
45113-00102,붓내공원,근린공원,,전라북도 전주시 덕진구 송천동2가 1339,35.8719799,127.1201996,28727,,,,,,2014-02-28,전라북도 전주시 정원도시자원순환본부 공원관리과,063-281-2107,2021-08-31,4640000,전라북도 전주시
47900-00008,공원1,어린이공원,,경상북도 예천군 호명면 산합리 1302,36.576716,128.479396,1669,체력단련시설,조합놀이대,,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00009,공원2,어린이공원,,경상북도 예천군 호명면 산합리 1470,36.574823,128.477047,3146,체력단련시설,"조합놀이대, 시소",,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00010,공원3,어린이공원,,경상북도 예천군 호명면 산합리 1485,36.574763,128.482541,3075,체력단련시설,조합놀이대,,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00011,공원1,소공원,,경상북도 예천군 호명면 산합리 1196,36.576651,128.477079,751,체력단련시설,,,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00012,공원1,수변공원,,경상북도 예천군 호명면 금능리 796,36.575649,128.463995,9673,,,,,,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00013,공원2,수변공원,,경상북도 예천군 호명면 금능리 803,36.574619,128.467107,5654,,,,,,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00014,공원3,수변공원,,경상북도 예천군 호명면 산합리 1505,36.574395,128.475326,4725,,,,,테이블,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00015,공원4,수변공원,,경상북도 예천군 호명면 산합리 1508,36.573835,128.475412,4420,,,,,정자,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00016,공원5,수변공원,,경상북도 예천군 호명면 산합리 1507,36.574594,128.480602,8394,,,,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00017,공원6,수변공원,,경상북도 예천군 호명면 산합리 1509,36.574189,128.480602,8055,체력단련시설,,,,파고라,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00018,공원7,수변공원,,경상북도 예천군 호명면 산합리 1500,36.573062,128.489964,58409,,,,,수경시설,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00019,공원8,수변공원,,경상북도 예천군 호명면 산합리 1449,36.575216,128.490683,5238,,,,,,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00020,공원9,수변공원,,경상북도 예천군 호명면 산합리 1448,36.576319,128.490822,6306,,,,,,2012-07-31,경상북도 예천군청,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00021,읍부공원(용궁도시),근린공원,,경상북도 예천군 용궁면 읍부리 402,36.6090808700,128.2738212190,12355,,,,,,2015-09-14,경상북도 용궁면장,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00022,새달감공원(하리송월 지구단위),어린이공원,,경상북도 예천군 은풍면 송월리 103,36.749791806,128.426124776,770,,,,,,2007-11-26,경상북도 은풍면장,054-650-6328,2021-09-15,5230000,경상북도 예천군
47900-00023,남본어린이공원,어린이공원,,경상북도 예천군 예천읍 남본리 93-2,36.648198490,128.459609709,2300,,,,,,1985-03-21,경상북도 예천읍장,054-650-6328,2021-09-15,5230000,경상북도 예천군
41390-00001,도원공원,어린이공원,,경기도 시흥시 신천동 818-1,37.43830459,126.7775548,1606,,조합놀이대,,,,1981-12-31,경기도 시흥시청,031-310-2688,2021-09-01,4010000,경기도 시흥시
41390-00002,상아공원,문화공원,,경기도 시흥시 신천동 826-1,37.43611414,126.7776186,1621,,조합놀이대,,,,1981-12-31,경기도 시흥시청,031-310-2688,2021-09-01,4010000,경기도 시흥시
41390-00003,신흥공원,어린이공원,경기도 시흥시 신흥마을1길 28,경기도 시흥시 신천동 821-5,37.43700868,126.778368,1601,,조합놀이대. 시소. 그네,,,,1981-12-31,경기도 시흥시청,031-310-2688,2021-09-01,4010000,경기도 시흥시
41390-00004,새말공원,어린이공원,경기도 시흥시 포도원로79번길 11-3,경기도 시흥시 신천동 843-19,37.436735,126.783227,1587,,조합놀이대. 그네. 시소,,,,1981-12-31,경기도 시흥시청,031-310-2688,2021-09-01,4010000,경기도 시흥시
